811079.00;"vitb12";1.90
811079.00;"zn";4.40
811079.00;"vitb5";0.31
811079.00;"prot";21.60
811079.00;"vita";5.00
811079.00;"vitc";0.00
811079.00;"water";6.97
811079.00;"vitb6";0.45
811079.00;"vitd";0.47
811079.00;"na";61.00
811079.00;"vitb2";0.13
811079.00;"kcal";153.00
811079.00;"fibre";0.00
811079.00;"p";162.00
811079.00;"chol";56.00
811079.00;"proa";10.00
811079.00;"fe";2.00
811079.00;"fat";7.50
811079.00;"vitb9";10.00
811079.00;"k";308.00
811079.00;"carb";0.00
811079.00;"mg";17.00
811079.00;"ca";5.00
811083.00;"vitc";15.15
811083.00;"vitb5";0.70
811083.00;"prot";20.50
811083.00;"vita";2.65
811083.00;"vitb2";0.16
811083.00;"vitb6";0.39
811083.00;"vitb12";0.80
811083.00;"vitd";0.41
811083.00;"zn";2.70
811083.00;"na";46.00
811083.00;"water";7.03
811083.00;"chol";63.00
811083.00;"p";181.00
811083.00;"fibre";0.00
811083.00;"ca";4.20
811083.00;"kcal";159.00
811083.00;"fe";1.10
811083.00;"fat";8.50
811083.00;"vitb9";4.00
811083.00;"k";326.00
811083.00;"carb";0.00
811083.00;"mg";19.00
811083.00;"proa";0.00
812048.00;"vitb6";0.51
812048.00;"fibre";0.00
812048.00;"vitb5";1.50
812048.00;"prot";20.62
812048.00;"vita";5.00
812048.00;"vitd";5.00
812048.00;"vitb2";0.19
812048.00;"vitb12";1.60
812048.00;"water";7.53
812048.00;"na";57.00
812048.00;"vitc";0.00
812048.00;"chol";72.00
812048.00;"p";188.00
812048.00;"mg";20.00
812048.00;"ca";4.90
812048.00;"zn";3.30
812048.00;"kcal";104.00
812048.00;"fe";0.80
812048.00;"fat";2.40
812048.00;"vitb9";7.00
812048.00;"k";332.00
812048.00;"carb";0.00
812048.00;"proa";5.00
812067.00;"p";189.00
812067.00;"vitc";0.00
812067.00;"vitb5";0.87
812067.00;"prot";19.70
812067.00;"vita";5.00
812067.00;"vitb2";0.27
812067.00;"vitb6";0.38
812067.00;"vitb12";0.40
812067.00;"vitd";1.54
812067.00;"zn";0.90
812067.00;"water";7.29
812067.00;"fe";0.50
812067.00;"fibre";0.00
812067.00;"ca";5.60
812067.00;"kcal";134.00
812067.00;"proa";0.00
812067.00;"fat";6.20
812067.00;"vitb9";10.00
812067.00;"k";302.00
812067.00;"carb";0.00
812067.00;"mg";20.00
812067.00;"na";76.00
812067.00;"chol";86.00
812080.00;"vitc";0.00
812080.00;"p";191.00
812080.00;"vitb5";0.74
812080.00;"prot";22.20
812080.00;"vita";5.00
812080.00;"vitb6";0.45
812080.00;"vitd";0.47
812080.00;"water";7.40
812080.00;"zn";3.50
812080.00;"fibre";0.00
812080.00;"vitb2";0.12
812080.00;"chol";56.00
812080.00;"ca";4.20
812080.00;"kcal";102.00
812080.00;"vitb12";1.40
812080.00;"fe";1.40
812080.00;"proa";10.00
812080.00;"vitb9";6.00
812080.00;"k";362.00
812080.00;"carb";0.00
812080.00;"mg";20.00
812080.00;"fat";1.50
812080.00;"na";44.00
812081.00;"zn";3.70
812081.00;"prot";21.20
812081.00;"vita";5.00
812081.00;"vitc";0.00
812081.00;"vitb2";0.12
812081.00;"vitb6";0.42
812081.00;"vitb12";1.40
812081.00;"water";7.42
812081.00;"vitb5";0.74
812081.00;"na";49.00
812081.00;"vitd";0.47
812081.00;"chol";54.00
812081.00;"p";183.00
812081.00;"ca";3.90
812081.00;"fibre";0.00
812081.00;"kcal";97.00
812081.00;"fe";1.20
812081.00;"fat";1.30
812081.00;"k";345.00
812081.00;"carb";0.00
812081.00;"mg";18.00
812081.00;"vitb9";6.00
812081.00;"proa";10.00
821043.00;"vitb6";0.02
821043.00;"vitb5";0.36
821043.00;"vita";272.00
821043.00;"vitc";1.00
821043.00;"vitb2";0.13
821043.00;"vitb12";0.40
821043.00;"vitd";0.50
821043.00;"water";6.58
821043.00;"zn";0.19
821043.00;"fibre";0.00
821043.00;"p";64.00
821043.00;"chol";82.00
821043.00;"ca";78.15
821043.00;"sta";0.00
821043.00;"kcal";269.40
821043.00;"fe";0.05
821043.00;"fat";27.87
821043.00;"k";131.96
821043.00;"prot";2.26
821043.00;"carb";3.31
821043.00;"proa";150.00
821043.00;"mg";6.98
821043.00;"vitb9";6.80
821043.00;"na";35.00
831003.00;"zn";0.40
831003.00;"vitb5";2.00
831003.00;"prot";19.90
831003.00;"vita";11.00
831003.00;"vitc";1.00
831003.00;"vitb2";0.14
831003.00;"vitb6";0.50
831003.00;"vitb12";6.90
831003.00;"water";7.15
831003.00;"p";245.00
831003.00;"mg";28.00
831003.00;"vitd";8.00
831003.00;"ca";12.00
831003.00;"fibre";0.00
831003.00;"proa";0.00
831003.00;"chol";66.00
831003.00;"sta";0.00
831003.00;"kcal";210.85
831003.00;"fe";0.40
831003.00;"vitb9";13.00
831003.00;"k";441.00
831003.00;"carb";0.00
831003.00;"na";57.00
831003.00;"fat";14.70
831010.00;"vitc";0.00
831010.00;"p";140.00
831010.00;"vitb5";0.19
831010.00;"prot";5.21
831010.00;"vita";0.00
831010.00;"vitb2";0.14
831010.00;"vitb6";0.05
831010.00;"vitb12";0.00
831010.00;"vitd";0.00
831010.00;"zn";2.20
831010.00;"mg";121.00
831010.00;"water";0.07
831010.00;"ca";48.02
831010.00;"fibre";6.96
831010.00;"proa";37.00
831010.00;"na";15.00
831010.00;"chol";0.94
831010.00;"sta";2.30
831010.00;"kcal";521.03
831010.00;"fat";31.81
831010.00;"vitb9";7.00
831010.00;"k";827.00
831010.00;"carb";60.41
831010.00;"fe";6.65
831011.00;"vitb6";0.05
831011.00;"vitb5";0.60
831011.00;"zn";0.74
831011.00;"prot";6.74
831011.00;"vitb9";7.00
831011.00;"vita";42.80
831011.00;"water";0.13
831011.00;"vitb2";0.28
831011.00;"vitb12";0.56
831011.00;"p";176.00
831011.00;"vitc";2.14
831011.00;"fibre";0.20
831011.00;"na";110.00
831011.00;"mg";12.00
831011.00;"k";332.00
831011.00;"fat";35.18
831011.00;"fe";0.31
831011.00;"kcal";568.83
831011.00;"chol";15.78
831011.00;"ca";258.39
831011.00;"proa";0.00
831011.00;"carb";55.97
862012.00;"prot";16.00
862012.00;"water";8.15
862012.00;"fibre";0.00
862012.00;"na";30.00
862012.00;"carb";0.00
862012.00;"fat";2.00
862012.00;"kcal";84.00
862025.00;"water";3.46
862025.00;"prot";9.00
862025.00;"fibre";2.50
862025.00;"na";470.00
862025.00;"carb";48.50
862025.00;"kcal";278.00
862025.00;"fat";6.00
1000824.00;"vita";0.00
1000824.00;"zn";0.18
1000824.00;"fibre";1.20
1000824.00;"vitb5";0.10
1000824.00;"prot";0.63
1000824.00;"vitc";23.00
1000824.00;"vitb2";0.04
1000824.00;"vitb6";0.07
