13.00;"prot";0.00
13.00;"fat";0.00
13.00;"carb";5.90
13.00;"kcal";14.00
13.00;"lact";0.00
13.00;"water";93.80
13.00;"caf";0.00
13.00;"fibre";0.00
13.00;"ca";6.00
13.00;"fe";0.60
13.00;"mg";22.00
13.00;"p";9.00
13.00;"k";100.00
13.00;"na";1.00
13.00;"zn";0.00
13.00;"cu";0.04
13.00;"se";0.10
13.00;"vita";0.00
13.00;"proa";0.00
13.00;"vitd";0.00
13.00;"vitc";0.00
13.00;"vitb1";0.00
13.00;"vitb2";0.00
13.00;"vitb3";0.00
13.00;"vitb5";0.00
13.00;"vitb6";1.0e-03
13.00;"vitb12";0.00
13.00;"vitb9";0.00
13.00;"chol";0.00
14.00;"prot";0.00
14.00;"fat";0.00
14.00;"carb";5.00
14.00;"kcal";12.00
14.00;"water";95.00
14.00;"caf";0.00
14.00;"fibre";0.00
14.00;"ca";0.00
14.00;"fe";0.00
14.00;"mg";22.00
14.00;"p";0.00
14.00;"k";15.00
14.00;"na";1.00
14.00;"zn";0.00
14.00;"cu";0.04
14.00;"se";0.50
14.00;"vita";0.00
14.00;"proa";0.00
14.00;"vitd";0.00
14.00;"vitc";0.00
14.00;"vitb1";0.00
14.00;"vitb2";0.00
14.00;"vitb3";0.00
14.00;"vitb5";0.00
14.00;"vitb6";0.00
14.00;"vitb12";0.00
14.00;"vitk";0.00
14.00;"vitb9";0.00
14.00;"chol";0.00
16.00;"prot";0.85
16.00;"fat";81.11
16.00;"carb";0.06
16.00;"kcal";717.00
16.00;"water";15.87
16.00;"caf";0.00
16.00;"fibre";0.00
16.00;"ca";24.00
16.00;"fe";0.16
16.00;"mg";2.00
16.00;"p";23.00
16.00;"k";26.00
16.00;"na";827.00
16.00;"zn";0.05
16.00;"cu";0.01
16.00;"se";1.00
16.00;"vita";671.00
16.00;"proa";158.00
16.00;"vitd";0.93
16.00;"vitc";0.00
16.00;"vitb1";5.0e-03
16.00;"vitb2";0.03
16.00;"vitb3";0.24
16.00;"vitb5";0.11
16.00;"vitb6";3.0e-03
16.00;"vitb12";0.13
16.00;"vitk";7.00
16.00;"vitb9";0.00
16.00;"chol";219.00
17.00;"prot";0.28
17.00;"fat";99.48
17.00;"carb";0.00
17.00;"kcal";876.00
17.00;"lact";0.00
17.00;"water";0.24
17.00;"caf";0.00
17.00;"fibre";0.00
17.00;"ca";4.00
17.00;"fe";0.00
17.00;"mg";0.00
17.00;"p";3.00
17.00;"k";5.00
17.00;"na";2.00
17.00;"zn";0.01
17.00;"cu";1.0e-03
17.00;"se";0.00
17.00;"vita";824.00
17.00;"proa";193.00
17.00;"vitc";0.00
17.00;"vitb1";1.0e-03
17.00;"vitb2";5.0e-03
17.00;"vitb3";0.06
17.00;"vitb5";0.01
17.00;"vitb6";1.0e-03
17.00;"vitb12";0.01
17.00;"vitk";8.60
17.00;"vitb9";0.00
17.00;"chol";256.00
18.00;"prot";21.40
18.00;"fat";28.74
18.00;"carb";2.34
18.00;"kcal";353.00
18.00;"water";42.41
18.00;"caf";0.00
18.00;"fibre";0.00
18.00;"ca";528.00
18.00;"fe";0.31
18.00;"mg";23.00
18.00;"p";387.00
18.00;"k";256.00
18.00;"na";1395.00
18.00;"zn";2.66
18.00;"cu";0.04
18.00;"se";14.50
18.00;"vita";192.00
